food_category_id,FF Food description,FF_Component,SR Mean per 100g,FF Mean per 100g,PC
9,"Orange juice, no pulp, not fortified, from concentrate, refrigerated","Sodium, Na",2.0,5.231,161.54999999999998
9,"Apples, fuji, with skin, raw",Riboflavin,0.026,0.0675,159.61538461538464
9,"Cranberry juice, not fortified, from concentrate, shelf stable",Total lipid (fat),0.13,0.3375,159.6153846153846
9,"Apples, gala, with skin, raw",Riboflavin,0.029,0.06875,137.0689655172414
9,"Pineapple, raw",Glucose,1.73,3.907,125.83815028901735
9,"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",Total lipid (fat),0.13,0.2875,121.15384615384612
9,"Apple juice, with added vitamin C, from concentrate, shelf stable",Total lipid (fat),0.13,0.2863,120.23076923076923
9,"Grapefruit juice, white, canned or bottled, unsweetened",Pantothenic acid,0.13,0.28,115.3846153846154
9,"Applesauce, unsweetened, with added vitamin C","Vitamin C, total ascorbic acid",21.2,43.69,106.08490566037736
10,"Pork, loin, boneless, raw","Fatty acids, total monounsaturated",1.861,3.946,112.03653949489522
10,"Pork, loin, boneless, raw","Fatty acids, total polyunsaturated",0.651,1.379,111.8279569892473
10,"Pork, loin, boneless, raw","Fatty acids, total saturated",1.598,3.285,105.5694618272841
10,"Pork, ground, raw","Manganese, Mn",0.01,0.0,100.0
10,"Pork, loin, boneless, raw","Manganese, Mn",0.007,0.0,100.0
10,"Pork, loin, tenderloin, boneless, raw","Manganese, Mn",0.014,0.002588,81.51428571428572
10,"Pork, loin, tenderloin, boneless, raw","Fatty acids, total trans",0.036,0.01,72.22222222222221
10,"Pork, ground, raw","Calcium, Ca",14.0,5.857,58.164285714285725
10,"Pork, ground, raw","Copper, Cu",0.045,0.0666,48.00000000000002
10,"Pork, loin, boneless, raw","Fatty acids, total trans",0.05,0.02875,42.5
10,"Pork, loin, boneless, raw","Calcium, Ca",7.0,4.111,41.27142857142857
10,"Pork, loin, tenderloin, boneless, raw","Fatty acids, total monounsaturated",1.355,0.8625,36.34686346863468
10,"Pork, ground, raw","Fatty acids, total polyunsaturated",1.91,2.553,33.66492146596859
10,"Pork, loin, boneless, raw","Copper, Cu",0.056,0.0382,31.78571428571429
10,"Pork, loin, tenderloin, boneless, raw","Fatty acids, total saturated",1.181,0.8663,26.64690939881457
10,"Pork, loin, tenderloin, boneless, raw","Fatty acids, total polyunsaturated",0.562,0.4175,25.711743772242002
10,"Pork, loin, tenderloin, boneless, raw","Calcium, Ca",6.0,4.528,24.53333333333334
10,"Pork, loin, tenderloin, boneless, raw","Sodium, Na",52.0,41.39,20.403846153846153
10,"Pork, ground, raw","Fatty acids, total saturated",7.87,6.283,20.16518424396442
10,"Pork, ground, raw","Fatty acids, total monounsaturated",9.44,7.777,17.616525423728806
10,"Pork, ground, raw",Total lipid (fat),21.19,17.49,17.461066540821154
10,"Pork, loin, tenderloin, boneless, raw",Ash,1.01,1.184,17.22772277227722
11,"Flour, potato","Iron, Fe",1.38,11.97,767.3913043478261
11,"Kale, raw",Pantothenic acid,0.091,0.37,306.5934065934066
11,"Pickles, cucumber, dill or kosher dill",Vitamin E (alpha-tocopherol),0.03,0.12,300.0
11,"Peppers, bell, yellow, raw",Riboflavin,0.025,0.09778,291.12000000000006
11,"Carrots, baby, raw",Riboflavin,0.036,0.1156,221.11111111111111
11,"Peppers, bell, green, raw",Riboflavin,0.028,0.08875,216.96428571428572
11,"Mushroom, crimini","Fiber, total dietary",0.6,1.781,196.83333333333334
11,"Flour, potato",Total lipid (fat),0.34,0.9513,179.79411764705878
11,"Kale, raw",Riboflavin,0.13,0.347,166.92307692307688
11,"Lettuce, leaf, red, raw","Vitamin C, total ascorbic acid",3.7,9.343,152.5135135135135
11,"Mushrooms, shiitake","Folate, total",13.0,32.13,147.15384615384616
11,"Onion rings, breaded, par fried, frozen, prepared, heated in oven","Tocopherol, beta",0.41,0.98,139.02439024390245
11,"Peppers, bell, red, raw","Copper, Cu",0.017,0.03983,134.29411764705878
11,"Cabbage, green, raw",Total lipid (fat),0.1,0.2275,127.49999999999999
11,"Flour, potato",Riboflavin,0.051,0.115,125.4901960784314
12,"Nuts, almonds, dry roasted, with salt added","Carotene, beta",1.0,17.0,1600.0
12,"Nuts, macadamia nuts, raw","Selenium, Se",3.6,32.62,806.111111111111
12,"Flaxseed, ground","Selenium, Se",25.4,135.9,435.0393700787402
12,"Seeds, sunflower seed kernels, dry roasted, with salt added",Thiamin,0.106,0.473,346.22641509433964
12,"Seeds, sunflower seed kernels, dry roasted, with salt added","Fatty acids, total monounsaturated",9.505,33.4,251.39400315623348
12,"Nuts, pistachio nuts, raw","Selenium, Se",7.0,23.12,230.2857142857143
12,"Seeds, sunflower seed kernels, dry roasted, with salt added","Magnesium, Mg",129.0,358.0,177.51937984496124
12,"Nuts, macadamia nuts, raw","Manganese, Mn",4.131,11.3,173.54151537158074
12,"Nuts, pine nuts, raw",Vitamin B-6,0.094,0.2546,170.85106382978722
12,"Almond butter, creamy",Thiamin,0.041,0.09456,130.6341463414634
12,"Seeds, sunflower seed kernels, dry roasted, with salt added",Riboflavin,0.246,0.507,106.09756097560977
12,"Seeds, sunflower seed kernels, dry roasted, with salt added",Glucose,0.03,0.0,100.0
12,"Seeds, sunflower seed kernels, dry roasted, with salt added","Carotene, beta",5.0,10.0,100.0
12,"Nuts, almonds, whole, raw","Sodium, Na",1.0,0.0,100.0
13,"Beef, ribeye, steak, boneless, choice, raw","Fatty acids, total trans",0.48,0.9743,102.97916666666669
13,"Beef, ground, 80% lean meat / 20% fat, raw","Manganese, Mn",0.01,0.0,100.0
13,"Beef, chuck, roast, boneless, choice, raw","Manganese, Mn",0.011,0.0,100.0
13,"Beef, ground, 90% lean meat / 10% fat, raw","Manganese, Mn",0.01,0.0,100.0
13,"Beef, ribeye, steak, boneless, choice, raw","Carbohydrate, by difference",1.75,0.0,100.0
13,"Beef, flank, steak, boneless, choice, raw","Manganese, Mn",0.013,0.001688,87.01538461538462
13,"Beef, flank, steak, boneless, choice, raw","Calcium, Ca",27.0,3.836,85.7925925925926
13,"Beef, round, top round, boneless, choice, raw","Magnesium, Mg",12.0,22.08,83.99999999999999
13,"Beef, ribeye, steak, boneless, choice, raw","Fatty acids, total saturated",4.359,7.966,82.74833677448956
13,"Beef, ribeye, steak, boneless, choice, raw",Total lipid (fat),11.4,20.04,75.78947368421052
13,"Beef, ribeye, steak, boneless, choice, raw","Copper, Cu",0.143,0.04263,70.18881118881119
13,"Beef, round, top round, boneless, choice, raw","Calcium, Ca",13.0,4.07,68.69230769230768
13,"Beef, chuck, roast, boneless, choice, raw","Calcium, Ca",12.0,4.576,61.86666666666667
13,"Beef, ground, 80% lean meat / 20% fat, raw","Calcium, Ca",18.0,6.889,61.72777777777778
13,"Beef, round, top round, boneless, choice, raw",Total lipid (fat),3.66,5.703,55.81967213114755
13,"Beef, ribeye, steak, boneless, choice, raw","Sodium, Na",88.0,42.54,51.65909090909091
13,"Beef, ribeye, steak, boneless, choice, raw","Fatty acids, total monounsaturated",5.171,7.731,49.50686520982401
14,"Almond milk, unsweetened, plain, shelf stable","Phosphorus, P",10.0,29.85,198.5
14,"Almond milk, unsweetened, plain, shelf stable","Zinc, Zn",0.07,0.1718,145.42857142857142
14,"Almond milk, unsweetened, plain, shelf stable","Folate, total",1.0,0.0,100.0
14,"Almond milk, unsweetened, plain, shelf stable",Thiamin,0.06,0.0,100.0
14,"Almond milk, unsweetened, plain, shelf stable","Selenium, Se",0.2,0.0,100.0
14,"Almond milk, unsweetened, plain, shelf stable",Vitamin D3 (cholecalciferol),1.0,0.0,100.0
14,"Almond milk, unsweetened, plain, shelf stable",Vitamin B-6,0.015,0.0,100.0
14,"Almond milk, unsweetened, plain, shelf stable","Potassium, K",67.0,30.79,54.04477611940298
14,"Almond milk, unsweetened, plain, shelf stable","Carbohydrate, by difference",0.58,0.3371125,41.877155172413794
14,"Almond milk, unsweetened, plain, shelf stable",Riboflavin,0.047,0.03339,28.957446808510635
16,"Flour, soy, defatted","Selenium, Se",1.7,45.8,2594.1176470588234
16,"Hummus, commercial","Selenium, Se",2.6,16.2,523.0769230769231
16,"Peanut butter, creamy","Selenium, Se",4.1,20.16,391.7073170731708
16,"Beans, black, canned, sodium added, drained and rinsed",Total lipid (fat),0.29,1.273,338.9655172413793
16,"Beans, navy, canned, sodium added, drained and rinsed",Total lipid (fat),0.43,1.398,225.11627906976744
16,"Beans, great northern, canned, sodium added, drained and rinsed",Total lipid (fat),0.39,1.266,224.6153846153846
16,"Flour, soy, defatted",Total lipid (fat),1.22,3.33,172.95081967213116
16,"Peanuts, raw","Selenium, Se",7.2,17.81,147.3611111111111
16,"Blackeye pea, canned, sodium added, drained and rinsed","Copper, Cu",0.117,0.2846,143.24786324786328
16,"Hummus, commercial",Pantothenic acid,0.132,0.318,140.9090909090909
16,"Blackeye pea, canned, sodium added, drained and rinsed",Total lipid (fat),0.55,1.296,135.63636363636363
16,"Lentils, dry","Magnesium, Mg",47.0,106.7,127.0212765957447
16,"Soy milk, unsweetened, plain, shelf stable","Phosphorus, P",32.0,68.65,114.53125000000001
16,"Hummus, commercial","Fatty acids, total polyunsaturated",3.613,7.48,107.03016883476337
16,"Peanut butter, creamy",Vitamin K (phylloquinone),0.3,0.0,100.0
16,"Lentils, dry","Sodium, Na",6.0,0.0,100.0
16,"Soy milk, unsweetened, plain, shelf stable","Fiber, total dietary",0.5,0.0,100.0
18,"Bread, white, commercially prepared","Calcium, Ca",144.0,211.0,46.52777777777778
18,"Bread, white, commercially prepared","Copper, Cu",0.101,0.124,22.772277227722764
18,"Bread, white, commercially prepared","Fatty acids, total monounsaturated",0.599,0.717,19.69949916527546
18,"Bread, white, commercially prepared","Zinc, Zn",0.74,0.88,18.91891891891892
18,"Bread, white, commercially prepared","Manganese, Mn",0.536,0.632,17.910447761194025
18,"Bread, white, commercially prepared","Fatty acids, total saturated",0.698,0.821,17.621776504297994
18,"Bread, white, commercially prepared","Magnesium, Mg",23.0,26.9,16.95652173913043
18,"Bread, white, commercially prepared","Fatty acids, total polyunsaturated",1.602,1.87,16.729088639201
18,"Bread, white, commercially prepared","Phosphorus, P",98.0,113.0,15.306122448979592
